	code	latitude	longitude	elevation	location	datetime
0	AAFM	-8.2734	124.723	830.0	Station Type MR, Alor Selatan, Alor, NTT	2020-10-01T00:00:00
1	AAI	-3.6871	128.1943	157.2	Station Ambon, Indonesia	2006-01-01T00:00:00
2	AAII	-3.6871	128.194	160.0	Station Ambon China	2006-01-01T00:00:00
3	ABJI	-7.7957	114.2342	144.36	Station Asem Bagus, Java	2008-01-01T00:00:00
4	ABSM	-3.4254	102.26295	380.0	Type MR, Argamakmur,Bengkulu Utara,Bengkulu	2019-01-01T00:00:00
5	ACBM	-7.029754	107.682833	766.0	Type MR,Ayu Ciparay,Bandung,Jawa Barat	2022-08-05T00:00:00
6	ACJM	-6.80323	108.615124	646.0	Type MR, Astanajapura,Cirebon,Jawa Barat	2019-01-01T00:00:00
7	ALKI	-8.1445	124.5903	720.0	Station Alor, Indonesia (BMKG)	2010-10-01T00:00:00
8	ALTI	-8.29069	125.12517	13.0	Station Type A, Alor Timur,Alor,Nusa Tenggara Timur	2019-01-01T00:00:00
9	AMGS	-6.265487	106.748932	50.3	AMGS	2019-01-01T00:00:00
10	AMPM	-1.2674	132.491	517.0	Station Type MR, Aifat, Maybrat, Papua Barat	2020-10-01T00:00:00
11	ANAN	-8.216	124.5185	85.0	Noncollocated_DS(Seismotek) ALOR	2020-12-15T00:00:00
12	ANAPI	-1.323	133.912	2013.0	Anggi, Pegunungan Arfak, Papua Barat	2023-08-06T07:45:29.525
13	APSI	-0.9108	121.6487	143.5	Station Ampana, Sulawesi	2008-01-01T00:00:00
14	APSR	-0.89539	100.34677	0.0	REIS Air Tawar	2018-07-02T00:00:00
15	APSSI	-3.932	102.465	226.0	Air Periukan, Seluma, Bengkulu	2022-09-22T07:45:29.525
16	ARKPI	-2.783	140.592	75.0	Arso 4, Keerom, Papua	2022-09-22T07:45:29.525
17	ARMI	-5.7749	134.2189	73.0	Station Type A, Aru,Kepulauan Aru,Maluku	2019-01-01T00:00:00
18	ARPI	-2.89961	140.74765	38.0	Station Type A, Arso ,Keerom,Papua	2019-01-01T00:00:00
19	ARSKI	-6.85843	115.28619	43.0	Arjasa, Sumenep, Jawa Timur	2022-09-22T07:45:29.525
20	ASTTI	-10.068	124.299	180.0	Amanuban Selatan, Timor Tengah Selatan, Nusa Tenggara Timur	2022-09-22T07:45:29.525
21	ATKTI	-9.425	124.09	168.0	Amfoang Timur, Kupang, Nusa Tenggara Timur	2022-09-22T07:45:29.525
22	ATNI	-9.0835	124.8644	404.62	Station Atambua, BMG, Indonesia	2012-01-01T00:00:00
23	BAJI	-7.09057	112.70853	76.0	Station Type B Bangkalan,Jawa Timur,Jawa Timur	2019-01-01T00:00:00
24	BAKI	-1.19145	136.10702	89.0	Station Biak, Indonesia	2005-01-01T00:00:00
25	BAPJI	-7.912	111.305	244.0	Badegan, Ponorogo, Jawa Timur	2023-07-04T12:00:00
26	BASAI	2.307	97.407	15.0	Pulau Banyak Barat, Aceh Singkil, Aceh	2023-12-20T00:00:00
27	BASI	-10.2189	120.5777	80.84	Station Baing, Sumba, Indonesia (BMKG)	2009-01-01T00:00:00
28	BASN	4.160618	96.115675	0.0	Noncollocated_DS(Seismotek)  Aceh Barat	2020-11-17T00:00:00
29	BATI	-10.2065	123.6633	356.11	Station Kupang, Timor	2007-01-01T00:00:00
30	BATPI	-2.5427	133.4455	17.0	Babo, Teluk Bintuni, Papua Barat	2023-08-05T07:45:29.525
31	BBBCM	-5.5771	120.448	87.0	Station Type MR, Sulawesi Bonto Bahari, Selatan	2019-11-01T00:00:00
32	BBBR	-8.60699	115.17778	20.0	REIS Badung	2018-07-02T00:00:00
33	BBCI	1.158027	121.436232	8.0	Station Type A,Biau,Buol,Sulawesi Tengah	2019-01-01T00:00:00
34	BBCM	-5.0392	120.058	546.0	Type MR, Bontocani,Bone,Sulawesi Selatan	2019-01-01T00:00:00
35	BBJI	-7.462603	107.65	615.0	BMG-Net, Indonesia (IA-Net)	2016-09-05T00:00:00
36	BBJM	-7.326	111.8099	175.0	Type MR, Bubulan,Bojonegoro,Jawa Timur	2019-01-01T00:00:00
37	BBJN	-7.3638	108.5319	79.0	Noncollocated_DS(Seismotek) Banjar	2020-11-17T00:00:00
38	BBKI	-3.4625	114.8411	109.88	Station Banjar Baru, Kalimantan	2007-01-01T00:00:00
39	BBLSI	-1.637539	123.52168	142.0	Type A, Banggai Tengah, Banggai Laut, Sulawesi Tengah	2022-09-22T07:45:29.525
40	BBSI	-5.4885	122.56	95.0	Station Bau Bau, Buton	2007-01-01T00:00:00
41	BBSI	-5.4879	122.5706	95.0	Station Bau Bau, Buton	2015-12-20T00:00:00
42	BBSN	-0.2859	101.3661	879.0	Noncollocated_DS(Seismotek) Bukittinggi	2020-11-17T00:00:00
43	BDBI	-8.52	115.2088	186.0	Badung,  Bali,  Indonesia	2021-11-26T00:00:00
44	BDCM	-0.872636	119.586757	18.0	Type MR, Banawa Selatan ,Donggala,Sulawesi Tengah	2019-01-01T00:00:00
45	BDMUI	1.322	126.362	12.0	Pulau Batang Dua, Ternate, Maluku Utara	2022-09-22T07:45:29.525
46	BESI	4.719933	96.86546	1372.0	Station Type A, Bukit,Bener Meriah,Aceh	2019-01-01T00:00:00
47	BESM	4.151615	96.325344	646.0	Type MR, Beutong,Nagan Raya,Aceh	2019-01-01T00:00:00
48	BGASI	3.983	97.315	1078.0	Blang Kejeren, Gayo Lues, Aceh	2022-09-22T07:45:29.525
49	BGCI	-0.8816	123.3911	11.0	Station Type A, Balantak,Banggai,Sulawesi Tengah	2019-01-01T00:00:00
